code_client,nom_client,type_client,telephone,email,ville,region
C0094,Hôpital Bègue de Albi,hopital,+33 (0)2 97 89 69 41,contact94@sante-albi.fr,Albi,Occitanie
C0095,District Sanitaire de Lille,district_sanitaire,02 55 31 41 51,contact95@sante-lille.fr,Lille,Hauts-de-France
C0096,District Sanitaire de Angers,district_sanitaire,0465725658,contact96@sante-angers.fr,Angers,Pays de la Loire
C0097,Hôpital Lévêque de Annecy,hopital,+33 5 54 66 26 62,contact97@sante-annecy.fr,Annecy,Auvergne-Rhône-Alpes
C0098,Hôpital Pinto de Lille,hopital,03 44 86 74 88,contact98@sante-lille.fr,Lille,Hauts-de-France
C0099,District Sanitaire de Dunkerque,district_sanitaire,0456609846,contact99@sante-dunkerque.fr,Dunkerque,Hauts-de-France
C0100,Hôpital Barbe de Pau,hopital,+33 (0)5 63 79 22 33,contact100@sante-pau.fr,Pau,Nouvelle-Aquitaine
C0101,Clinique Perpignan 101,clinique,+33 (0)4 20 40 82 59,contact101@sante-perpignan.fr,Perpignan,Occitanie
C0102,Hôpital Delorme de Saint-Denis,hopital,02 45 91 48 70,contact102@sante-saint-denis.fr,Saint-Denis,Île-de-France
C0103,Clinique Avignon 103,clinique,+33 (0)2 99 03 39 97,contact103@sante-avignon.fr,Avignon,Provence-Alpes-Cote-d-Azur
C0104,Hôpital Thierry de Perpignan,hopital,0633998558,contact104@sante-perpignan.fr,Perpignan,Occitanie
C0105,Hôpital Toussaint de Reims,hopital,0379648678,contact105@sante-reims.fr,Reims,Grand Est
C0106,District Sanitaire de Strasbourg,district_sanitaire,+33 4 72 40 37 24,contact106@sante-strasbourg.fr,Strasbourg,Grand Est
C0107,Hôpital Baudry de Bourges,hopital,+33 (0)2 22 95 15 15,contact107@sante-bourges.fr,Bourges,Centre-Val de Loire
C0108,Clinique Bordeaux 108,clinique,02 34 30 62 04,contact108@sante-bordeaux.fr,Bordeaux,Nouvelle-Aquitaine
C0109,District Sanitaire de Le Mans,district_sanitaire,+33 3 84 60 43 22,contact109@sante-le-mans.fr,Le Mans,Pays de la Loire
C0110,District Sanitaire de Saint-Nazaire,district_sanitaire,+33 5 45 23 50 33,contact110@sante-saint-nazaire.fr,Saint-Nazaire,Pays de la Loire
C0111,Hôpital Grenier de Paris,hopital,01 76 39 05 02,contact111@sante-paris.fr,Paris,Île-de-France
C0112,Hôpital Boutin de Amiens,hopital,+33 (0)3 56 13 08 85,contact112@sante-amiens.fr,Amiens,Hauts-de-France
C0113,District Sanitaire de Vannes,district_sanitaire,0296534749,contact113@sante-vannes.fr,Vannes,Bretagne
C0114,Clinique Marseille 114,clinique,+33 6 30 32 61 23,contact114@sante-marseille.fr,Marseille,Provence-Alpes-Cote-d-Azur
C0115,Hôpital Allain de Nîmes,hopital,0243897470,contact115@sante-nîmes.fr,Nîmes,Occitanie
C0116,Clinique Versailles 116,clinique,02 40 15 11 68,contact116@sante-versailles.fr,Versailles,Île-de-France
C0117,Clinique Chartres 117,clinique,04 23 79 18 01,contact117@sante-chartres.fr,Chartres,Centre-Val de Loire
C0118,Clinique Lyon 118,clinique,0183227678,contact118@sante-lyon.fr,Lyon,Auvergne-Rhône-Alpes
C0119,Hôpital Perrier de Alençon,hopital,0749903082,contact119@sante-alençon.fr,Alençon,Normandie
C0120,District Sanitaire de Chartres,district_sanitaire,01 76 66 43 67,contact120@sante-chartres.fr,Chartres,Centre-Val de Loire
C0121,Clinique Montpellier 121,clinique,03 66 34 75 47,contact121@sante-montpellier.fr,Montpellier,Occitanie
C0122,District Sanitaire de Marseille,district_sanitaire,+33 4 50 44 64 57,contact122@sante-marseille.fr,Marseille,Provence-Alpes-Cote-d-Azur
C0123,District Sanitaire de Reims,district_sanitaire,05 81 89 69 63,contact123@sante-reims.fr,Reims,Grand Est
C0124,District Sanitaire de Nice,district_sanitaire,03 24 91 89 28,contact124@sante-nice.fr,Nice,Provence-Alpes-Cote-d-Azur
C0125,District Sanitaire de Orléans,district_sanitaire,0741370132,contact125@sante-orléans.fr,Orléans,Centre-Val de Loire
C0126,District Sanitaire de Strasbourg,district_sanitaire,0310778153,contact126@sante-strasbourg.fr,Strasbourg,Grand Est
C0127,District Sanitaire de Vannes,district_sanitaire,0229076173,contact127@sante-vannes.fr,Vannes,Bretagne
C0128,Clinique Rennes 128,clinique,+33 6 35 09 71 96,contact128@sante-rennes.fr,Rennes,Bretagne
C0129,District Sanitaire de Nantes,district_sanitaire,0134836481,contact129@sante-nantes.fr,Nantes,Pays de la Loire
C0130,Clinique Toulon 130,clinique,+33 4 81 03 29 12,contact130@sante-toulon.fr,Toulon,Provence-Alpes-Cote-d-Azur
C0131,Clinique Dijon 131,clinique,0246210670,contact131@sante-dijon.fr,Dijon,Bourgogne-Franche-Comté
C0132,Hôpital Roche de Clermont-Ferrand,hopital,0247679957,contact132@sante-clermont-ferrand.fr,Clermont-Ferrand,Auvergne-Rhône-Alpes
C0133,District Sanitaire de Dijon,district_sanitaire,0596315188,contact133@sante-dijon.fr,Dijon,Bourgogne-Franche-Comté
C0134,Hôpital Vasseur de Belfort,hopital,+33 1 83 24 50 55,contact134@sante-belfort.fr,Belfort,Bourgogne-Franche-Comté
C0135,District Sanitaire de Boulogne-Billancourt,district_sanitaire,06 71 92 32 56,contact135@sante-boulogne-billancourt.fr,Boulogne-Billancourt,Île-de-France
C0136,District Sanitaire de Reims,district_sanitaire,0158428970,contact136@sante-reims.fr,Reims,Grand Est
C0137,District Sanitaire de Saint-Nazaire,district_sanitaire,+33 2 22 26 76 57,contact137@sante-saint-nazaire.fr,Saint-Nazaire,Pays de la Loire
C0138,Hôpital Julien de Limoges,hopital,02 85 94 04 32,contact138@sante-limoges.fr,Limoges,Nouvelle-Aquitaine
C0139,Hôpital Verdier de Mâcon,hopital,+33 1 53 80 75 84,contact139@sante-mâcon.fr,Mâcon,Bourgogne-Franche-Comté
C0140,Hôpital Boucher de Amiens,hopital,+33 (0)1 43 98 01 59,contact140@sante-amiens.fr,Amiens,Hauts-de-France
C0141,Clinique Toulouse 141,clinique,0490950439,contact141@sante-toulouse.fr,Toulouse,Occitanie
C0142,Clinique Valenciennes 142,clinique,0172534946,contact142@sante-valenciennes.fr,Valenciennes,Hauts-de-France
C0143,Clinique Lorient 143,clinique,+33 (0)1 82 16 81 73,contact143@sante-lorient.fr,Lorient,Bretagne
C0144,Clinique Versailles 144,clinique,0471930007,contact144@sante-versailles.fr,Versailles,Île-de-France
C0145,District Sanitaire de Strasbourg,district_sanitaire,+33 2 51 25 05 81,contact145@sante-strasbourg.fr,Strasbourg,Grand Est
C0146,Hôpital Morin de Metz,hopital,+33 3 90 90 24 06,contact146@sante-metz.fr,Metz,Grand Est
C0147,Clinique Nancy 147,clinique,+33 (0)1 53 97 13 37,contact147@sante-nancy.fr,Nancy,Grand Est
C0148,Clinique Mâcon 148,clinique,+33 4 22 45 06 63,contact148@sante-mâcon.fr,Mâcon,Bourgogne-Franche-Comté
C0149,Clinique Reims 149,clinique,0140266553,contact149@sante-reims.fr,Reims,Grand Est
C0150,Clinique Mâcon 150,clinique,06 42 69 76 65,contact150@sante-mâcon.fr,Mâcon,Bourgogne-Franche-Comté
C0151,Hôpital Lemoine de Quimper,hopital,+33 1 56 09 57 54,contact151@sante-quimper.fr,Quimper,Bretagne
C0152,Hôpital Gomez de Mâcon,hopital,+33 2 34 17 48 23,contact152@sante-mâcon.fr,Mâcon,Bourgogne-Franche-Comté
C0153,Hôpital Martinez de Avignon,hopital,0411925753,contact153@sante-avignon.fr,Avignon,Provence-Alpes-Cote-d-Azur
C0154,Clinique Quimper 154,clinique,02 32 49 80 89,contact154@sante-quimper.fr,Quimper,Bretagne
C0155,Clinique Lyon 155,clinique,+33 4 70 98 80 52,contact155@sante-lyon.fr,Lyon,Auvergne-Rhône-Alpes
C0156,Clinique Bourges 156,clinique,+33 (0)1 42 23 53 60,contact156@sante-bourges.fr,Bourges,Centre-Val de Loire
C0157,District Sanitaire de La Roche-sur-Yon,district_sanitaire,+33 (0)1 60 19 45 74,contact157@sante-la-roche-sur-yon.fr,La Roche-sur-Yon,Pays de la Loire
C0158,District Sanitaire de Nice,district_sanitaire,+33 (0)3 67 42 96 93,contact158@sante-nice.fr,Nice,Provence-Alpes-Cote-d-Azur
C0159,Clinique Angers 159,clinique,+33 (0)1 80 56 63 19,contact159@sante-angers.fr,Angers,Pays de la Loire
C0160,District Sanitaire de Boulogne-Billancourt,district_sanitaire,+33 4 37 61 18 82,contact160@sante-boulogne-billancourt.fr,Boulogne-Billancourt,Île-de-France
C0161,District Sanitaire de Toulon,district_sanitaire,+33 (0)6 03 09 90 78,contact161@sante-toulon.fr,Toulon,Provence-Alpes-Cote-d-Azur
C0162,District Sanitaire de Paris,district_sanitaire,+33 2 51 08 97 59,contact162@sante-paris.fr,Paris,Île-de-France
C0163,Clinique Blois 163,clinique,+33 4 26 09 36 72,contact163@sante-blois.fr,Blois,Centre-Val de Loire
C0164,Hôpital Boulay de Brest,hopital,0457914070,contact164@sante-brest.fr,Brest,Bretagne
C0165,District Sanitaire de Bayonne,district_sanitaire,0358218704,contact165@sante-bayonne.fr,Bayonne,Nouvelle-Aquitaine
C0166,Hôpital Blondel de Nantes,hopital,0363984987,contact166@sante-nantes.fr,Nantes,Pays de la Loire
C0167,District Sanitaire de Grenoble,district_sanitaire,+33 (0)4 94 27 38 63,contact167@sante-grenoble.fr,Grenoble,Auvergne-Rhône-Alpes
C0168,Clinique Metz 168,clinique,+33 2 41 41 76 45,contact168@sante-metz.fr,Metz,Grand Est
C0169,District Sanitaire de Rouen,district_sanitaire,+33 6 56 33 49 27,contact169@sante-rouen.fr,Rouen,Normandie
C0170,Clinique Pau 170,clinique,+33 (0)2 32 77 10 14,contact170@sante-pau.fr,Pau,Nouvelle-Aquitaine
C0171,Hôpital Voisin de Nancy,hopital,06 85 77 39 60,contact171@sante-nancy.fr,Nancy,Grand Est
C0172,District Sanitaire de Caen,district_sanitaire,0389013031,contact172@sante-caen.fr,Caen,Normandie
C0173,Clinique Nancy 173,clinique,+33 (0)5 59 99 33 84,contact173@sante-nancy.fr,Nancy,Grand Est
C0174,Hôpital Daniel de Bourges,hopital,08 03 51 17 86,contact174@sante-bourges.fr,Bourges,Centre-Val de Loire
C0175,District Sanitaire de Lyon,district_sanitaire,04 56 60 62 09,contact175@sante-lyon.fr,Lyon,Auvergne-Rhône-Alpes
C0176,District Sanitaire de Pau,district_sanitaire,04 20 24 93 24,contact176@sante-pau.fr,Pau,Nouvelle-Aquitaine
C0177,Hôpital Alexandre de Avignon,hopital,+33 (0)1 74 56 13 84,contact177@sante-avignon.fr,Avignon,Provence-Alpes-Cote-d-Azur
C0178,District Sanitaire de Roubaix,district_sanitaire,06 34 62 94 14,contact178@sante-roubaix.fr,Roubaix,Hauts-de-France
C0179,District Sanitaire de Le Mans,district_sanitaire,+33 (0)6 98 62 35 71,contact179@sante-le-mans.fr,Le Mans,Pays de la Loire
C0180,Hôpital Marques de Dunkerque,hopital,04 37 31 95 13,contact180@sante-dunkerque.fr,Dunkerque,Hauts-de-France
C0181,Hôpital Collet de Grenoble,hopital,02 72 25 21 49,contact181@sante-grenoble.fr,Grenoble,Auvergne-Rhône-Alpes
C0182,District Sanitaire de Le Mans,district_sanitaire,0579690330,contact182@sante-le-mans.fr,Le Mans,Pays de la Loire
C0183,District Sanitaire de Nantes,district_sanitaire,+33 (0)4 74 84 20 43,contact183@sante-nantes.fr,Nantes,Pays de la Loire
C0184,District Sanitaire de Metz,district_sanitaire,+33 1 78 68 04 10,contact184@sante-metz.fr,Metz,Grand Est
C0185,District Sanitaire de Annecy,district_sanitaire,+33 (0)4 89 92 05 33,contact185@sante-annecy.fr,Annecy,Auvergne-Rhône-Alpes
C0186,Hôpital Delorme de Roubaix,hopital,0296651002,contact186@sante-roubaix.fr,Roubaix,Hauts-de-France
C0187,Clinique Besançon 187,clinique,04 73 62 78 03,contact187@sante-besançon.fr,Besançon,Bourgogne-Franche-Comté
C0188,Hôpital Peltier de Brest,hopital,+33 3 57 55 30 16,contact188@sante-brest.fr,Brest,Bretagne
C0189,Hôpital Mallet de Montpellier,hopital,01 30 14 85 01,contact189@sante-montpellier.fr,Montpellier,Occitanie
C0190,Clinique Nantes 190,clinique,04 86 46 43 18,contact190@sante-nantes.fr,Nantes,Pays de la Loire
C0191,Clinique Vannes 191,clinique,+33 (0)2 37 81 76 69,contact191@sante-vannes.fr,Vannes,Bretagne
C0192,Hôpital Robin de La Roche-sur-Yon,hopital,0352191434,contact192@sante-la-roche-sur-yon.fr,La Roche-sur-Yon,Pays de la Loire
C0193,Hôpital Peron de Rouen,hopital,+33 5 33 49 82 21,contact193@sante-rouen.fr,Rouen,Normandie
C0194,District Sanitaire de Dunkerque,district_sanitaire,+33 4 80 94 13 83,contact194@sante-dunkerque.fr,Dunkerque,Hauts-de-France
C0195,District Sanitaire de Mâcon,district_sanitaire,0489910497,contact195@sante-mâcon.fr,Mâcon,Bourgogne-Franche-Comté
C0196,District Sanitaire de Aix-en-Provence,district_sanitaire,+33 1 55 71 87 61,contact196@sante-aix-en-provence.fr,Aix-en-Provence,Provence-Alpes-Cote-d-Azur
C0197,Clinique Grenoble 197,clinique,+33 (0)2 56 56 46 33,contact197@sante-grenoble.fr,Grenoble,Auvergne-Rhône-Alpes
C0198,Clinique Orléans 198,clinique,0475129809,contact198@sante-orléans.fr,Orléans,Centre-Val de Loire
C0199,Clinique La Roche-sur-Yon 199,clinique,0474215700,contact199@sante-la-roche-sur-yon.fr,La Roche-sur-Yon,Pays de la Loire
C0200,District Sanitaire de Bayonne,district_sanitaire,+33 (0)2 52 29 55 34,contact200@sante-bayonne.fr,Bayonne,Nouvelle-Aquitaine
C0201,Hôpital Couturier de Caen,hopital,04 70 56 43 34,contact201@sante-caen.fr,Caen,Normandie
C0202,Hôpital Chauvin de Avignon,hopital,+33 5 56 80 37 08,contact202@sante-avignon.fr,Avignon,Provence-Alpes-Cote-d-Azur
C0203,Hôpital Lévy de Annecy,hopital,02 97 12 98 37,contact203@sante-annecy.fr,Annecy,Auvergne-Rhône-Alpes
C0204,Hôpital Vasseur de Amiens,hopital,0491455108,contact204@sante-amiens.fr,Amiens,Hauts-de-France
C0205,Clinique Reims 205,clinique,0470351828,contact205@sante-reims.fr,Reims,Grand Est
C0206,Hôpital Bodin de Quimper,hopital,03 57 03 31 65,contact206@sante-quimper.fr,Quimper,Bretagne
C0207,District Sanitaire de Amiens,district_sanitaire,+33 5 55 21 24 22,contact207@sante-amiens.fr,Amiens,Hauts-de-France
C0208,Hôpital Pruvost de Quimper,hopital,+33 (0)1 81 00 43 39,contact208@sante-quimper.fr,Quimper,Bretagne
C0209,District Sanitaire de Bourges,district_sanitaire,0494597975,contact209@sante-bourges.fr,Bourges,Centre-Val de Loire
C0210,District Sanitaire de Rennes,district_sanitaire,02 51 14 83 84,contact210@sante-rennes.fr,Rennes,Bretagne
C0211,District Sanitaire de Tours,district_sanitaire,+33 2 44 37 41 99,contact211@sante-tours.fr,Tours,Centre-Val de Loire
C0212,Hôpital Delahaye de Caen,hopital,+33 (0)4 23 75 85 88,contact212@sante-caen.fr,Caen,Normandie
C0213,District Sanitaire de Chartres,district_sanitaire,+33 (0)2 62 50 64 57,contact213@sante-chartres.fr,Chartres,Centre-Val de Loire
C0214,District Sanitaire de Le Havre,district_sanitaire,02 62 87 89 36,contact214@sante-le-havre.fr,Le Havre,Normandie
C0215,Hôpital Mallet de Paris,hopital,0297531710,contact215@sante-paris.fr,Paris,Île-de-France
C0216,Clinique Montreuil 216,clinique,+33 5 64 65 26 49,contact216@sante-montreuil.fr,Montreuil,Île-de-France
C0217,District Sanitaire de Tours,district_sanitaire,+33 (0)4 77 61 60 93,contact217@sante-tours.fr,Tours,Centre-Val de Loire
C0218,District Sanitaire de Avignon,district_sanitaire,0228870674,contact218@sante-avignon.fr,Avignon,Provence-Alpes-Cote-d-Azur
