id_ligne,id_commande,code_produit,numero_lot,quantite_commandee,quantite_livree,taux_satisfaction,montant
49,10,AP00010,LOT22999,73,61,0.8356,1205725.39
50,11,TU00017,LOT31632,213,28,0.1315,134861.16
51,11,SI00020,LOT50538,240,14,0.0583,475901.44
52,11,MC00019,LOT88222,76,6,0.0789,242475.36
53,11,AP00009,LOT52622,73,34,0.4658,148831.6
54,12,PP00007,LOT63545,428,379,0.8855,8994583.39
55,12,CA00003,LOT23396,352,349,0.9915,17412157.93
56,12,MC00007,LOT30052,447,339,0.7584,15296263.08
57,12,SI00008,LOT50404,439,412,0.9385,3451633.0
58,12,TU00009,LOT81810,259,183,0.7066,5039034.93
59,12,MM00013,LOT62098,375,356,0.9493,15657851.88
60,12,TU00012,LOT29769,221,154,0.6968,5114015.06
61,13,PP00016,LOT21959,72,70,0.9722,3147696.3
62,13,CA00016,LOT82512,316,260,0.8228,11669663.2
63,13,PA00015,LOT81066,284,281,0.9894,1450021.82
64,13,AP00007,LOT65872,98,83,0.8469,2674556.31
65,13,TU00006,LOT65724,251,181,0.7211,5217002.82
66,13,PA00002,LOT62296,272,244,0.8971,1806749.24
67,14,TU00004,LOT72277,349,255,0.7307,1575193.65
68,14,SI00016,LOT15014,280,235,0.8393,4915993.2
69,14,CA00020,LOT10074,324,261,0.8056,10112836.5
70,14,SI00008,LOT50404,281,222,0.79,3104756.58
71,14,PA00013,LOT44760,111,80,0.7207,3245780.0
72,14,AP00022,LOT52517,205,194,0.9463,6818521.88
73,15,SI00020,LOT50538,469,467,0.9957,1178250.34
74,15,MC00004,LOT23356,257,245,0.9533,6919223.85
75,15,MC00014,LOT22196,331,256,0.7734,6051870.72
76,15,PP00022,LOT25915,461,432,0.9371,3002922.72
77,15,CA00013,LOT66155,81,76,0.9383,3735080.04
78,15,MN00020,LOT22015,116,88,0.7586,1815308.88
79,15,TU00011,LOT47450,401,356,0.8878,11601886.92
80,15,TU00001,LOT95813,348,304,0.8736,13970016.0
81,16,PA00002,LOT62296,286,7,0.0245,323977.15
82,16,TU00019,LOT16590,271,111,0.4096,2259398.34
83,16,PA00010,LOT70637,65,12,0.1846,262878.48
84,16,CA00011,LOT51245,231,24,0.1039,244089.6
85,17,MC00018,LOT35105,246,182,0.7398,1960764.26
86,17,MM00009,LOT15720,458,392,0.8559,12507532.24
87,17,PP00013,LOT89129,460,397,0.863,776917.09
88,17,CA00016,LOT82512,245,228,0.9306,4239999.72
89,17,PA00001,LOT79163,328,306,0.9329,5464447.02
90,17,TU00006,LOT65724,339,288,0.8496,5768835.84
91,18,PP00011,LOT47828,442,386,0.8733,4788461.24
92,18,MM00004,LOT82255,131,95,0.7252,3152704.2
93,18,MC00004,LOT23356,186,159,0.8548,6323528.58
94,19,SI00002,LOT27601,462,425,0.9199,7896657.25
95,19,SI00017,LOT89457,352,249,0.7074,8796542.52
96,19,MM00020,LOT70236,340,295,0.8676,8434740.3
97,19,TU00016,LOT73993,146,138,0.9452,5617933.08
98,20,CA00015,LOT88172,162,114,0.7037,2784046.44
99,20,SI00016,LOT15014,219,213,0.9726,2315682.75
100,20,MN00001,LOT73335,116,93,0.8017,901684.29
101,21,AP00005,LOT69245,410,402,0.9805,8194440.36
102,21,PA00015,LOT81066,101,80,0.7921,1344604.8
103,21,PA00007,LOT22704,130,119,0.9154,2666379.45
104,21,MM00003,LOT76698,377,372,0.9867,12205256.76
105,21,MC00006,LOT11658,139,126,0.9065,3595648.14
106,21,CA00019,LOT89818,364,340,0.9341,4059130.8
107,21,MC00008,LOT80539,351,331,0.943,6468011.42
108,22,CA00009,LOT93886,339,247,0.7286,6252328.29
109,22,SI00003,LOT89276,219,202,0.9224,2557683.6
110,22,MN00001,LOT73335,213,159,0.7465,7056529.71
111,22,TU00016,LOT73993,95,89,0.9368,3010976.8
112,22,MN00003,LOT89482,423,408,0.9645,9337026.96
113,22,SI00013,LOT39219,185,141,0.7622,4930153.83
114,22,MN00010,LOT83048,229,177,0.7729,1113984.9
115,23,MC00009,LOT42177,383,355,0.9269,4279010.25
116,23,MC00002,LOT31992,281,202,0.7189,8573356.72
117,23,MM00008,LOT52176,200,141,0.705,1945131.66
118,23,PA00004,LOT92719,103,74,0.7184,690801.1
119,23,PP00013,LOT89129,242,181,0.7479,846196.72
120,23,MM00016,LOT68153,97,77,0.7938,3794446.81
121,24,CA00014,LOT21915,147,120,0.8163,3378181.2
122,24,PA00004,LOT92719,423,364,0.8605,12146425.2
123,24,TU00019,LOT16590,202,155,0.7673,531981.7
124,24,SI00009,LOT56357,342,295,0.8626,7391658.65
125,25,PA00003,LOT54313,376,296,0.7872,1484401.52
126,25,CA00007,LOT31319,482,354,0.7344,13968468.3
127,25,SI00009,LOT56357,291,246,0.8454,8214176.16
128,25,PA00022,LOT19016,96,85,0.8854,1699050.55
129,26,PP00003,LOT42530,338,242,0.716,9162003.84
130,26,PP00010,LOT28643,391,285,0.7289,9615592.2
131,26,TU00002,LOT32241,463,399,0.8618,19377263.43
132,26,SI00014,LOT46585,351,269,0.7664,1072825.8
133,26,TU00003,LOT40784,248,234,0.9435,5034034.98
134,27,CA00021,LOT41385,342,331,0.9678,13313505.17
135,27,MC00014,LOT22196,396,393,0.9924,3232401.42
136,27,AP00007,LOT65872,437,364,0.833,17291459.64
137,27,CA00009,LOT93886,135,133,0.9852,5401739.14
138,27,PP00019,LOT77449,114,81,0.7105,392044.86
139,28,CA00018,LOT75612,316,264,0.8354,11563160.4
140,28,PA00001,LOT79163,452,411,0.9093,12244195.53
141,28,MC00012,LOT82848,450,371,0.8244,7905149.28
142,28,MM00011,LOT23154,125,108,0.864,3191527.44
143,28,MC00014,LOT22196,101,98,0.9703,2800007.0
144,28,MM00010,LOT96991,101,94,0.9307,4089591.26
145,28,TU00018,LOT83975,500,401,0.802,8474577.61
146,28,TU00005,LOT74799,246,220,0.8943,6386410.8
147,29,MC00014,LOT22196,171,122,0.7135,2962854.18
148,29,TU00019,LOT16590,187,181,0.9679,360445.21
149,29,AP00001,LOT10371,468,439,0.938,7127832.28
150,30,AP00015,LOT56346,263,231,0.8783,1241638.86
151,30,PP00004,LOT39581,276,210,0.7609,8688645.0
152,30,TU00017,LOT31632,429,362,0.8438,9523702.34
153,30,TU00003,LOT40784,241,228,0.9461,5984594.16
154,30,AP00011,LOT66370,131,94,0.7176,3362276.6
155,31,SI00008,LOT50404,283,202,0.7138,3768992.76
156,31,CA00015,LOT88172,151,118,0.7815,4879513.58
157,31,SI00020,LOT50538,308,252,0.8182,11650111.2
158,31,CA00009,LOT93886,398,282,0.7085,5428745.34
159,32,TU00001,LOT95813,195,138,0.7077,473740.2
160,32,AP00016,LOT23579,487,424,0.8706,20471127.04
161,32,AP00001,LOT10371,488,374,0.7664,4499403.26
162,32,PA00002,LOT62296,155,121,0.7806,2548967.85
163,33,SI00001,LOT90173,413,368,0.891,8010083.04
164,33,MM00022,LOT93746,242,231,0.9545,5426397.9
165,33,CA00003,LOT23396,161,135,0.8385,4614652.35
166,33,SI00014,LOT46585,472,418,0.8856,12389465.66
167,33,SI00021,LOT65108,53,45,0.8491,1505493.9
168,33,MN00002,LOT12875,481,457,0.9501,13029709.8
169,33,TU00013,LOT63424,354,312,0.8814,4875099.84
170,33,AP00007,LOT65872,105,88,0.8381,1538055.2
171,34,PA00017,LOT18907,79,74,0.9367,2983370.68
172,34,MM00001,LOT82199,357,293,0.8207,4881292.1
173,34,AP00020,LOT96159,121,110,0.9091,3642609.3
174,34,SI00018,LOT10221,201,156,0.7761,3355516.32
175,35,AP00007,LOT65872,309,244,0.7896,2276361.4
176,35,SI00013,LOT39219,386,371,0.9611,3663869.86
177,35,MN00022,LOT86858,99,83,0.8384,3096317.49
178,35,MM00005,LOT19150,421,396,0.9406,15199664.04
179,35,MN00010,LOT83048,143,140,0.979,6311195.8
180,35,PP00012,LOT75597,385,279,0.7247,5136080.31
181,35,MN00018,LOT57537,431,414,0.9606,8943708.24
182,35,MC00004,LOT23356,219,177,0.8082,5255653.92
183,36,PP00019,LOT77449,321,253,0.7882,923207.12
184,36,PA00009,LOT42591,487,362,0.7433,17964264.48
185,36,MN00021,LOT41925,225,185,0.8222,5346644.3
186,36,MC00010,LOT97580,284,211,0.743,9127290.3
187,37,CA00015,LOT88172,441,329,0.746,12987383.57
188,37,CA00002,LOT30926,449,326,0.7261,10141700.26
189,37,PP00006,LOT44687,374,309,0.8262,6804875.25
190,37,TU00005,LOT74799,294,239,0.8129,680801.06
191,37,SI00010,LOT33206,152,139,0.9145,6609917.04
192,37,AP00019,LOT45818,214,198,0.9252,5350090.68
193,37,PA00022,LOT19016,59,53,0.8983,1680505.98
194,37,MM00016,LOT68153,177,135,0.7627,5936256.45
195,38,CA00012,LOT28726,283,259,0.9152,7827531.67
196,38,TU00011,LOT47450,222,184,0.8288,6376010.32
197,38,TU00009,LOT81810,118,94,0.7966,4245774.14
198,39,AP00011,LOT66370,61,53,0.8689,491853.25
199,39,PA00012,LOT73092,237,216,0.9114,8599873.68
200,39,SI00011,LOT97806,242,233,0.9628,3153345.11
201,39,AP00012,LOT22463,323,286,0.8854,8609252.08
202,40,PP00004,LOT39581,409,305,0.7457,10694645.05
203,40,MC00010,LOT97580,372,261,0.7016,5643524.7
204,40,PA00010,LOT70637,101,90,0.8911,1280599.2
205,40,MM00009,LOT15720,360,327,0.9083,7037844.42
206,40,SI00021,LOT65108,103,87,0.8447,2720246.4
207,40,PP00012,LOT75597,194,142,0.732,881382.64
208,41,MC00017,LOT35242,296,236,0.7973,267661.76
209,41,TU00010,LOT93579,393,285,0.7252,1827166.35
210,41,PA00020,LOT27154,343,308,0.898,2558888.64
211,41,CA00011,LOT51245,96,89,0.9271,416285.04
212,41,MM00009,LOT15720,420,306,0.7286,4142845.26
213,41,PP00018,LOT14809,168,140,0.8333,6844216.4
214,41,SI00010,LOT33206,185,155,0.8378,913049.2
215,41,AP00001,LOT10371,139,133,0.9568,5687105.27
216,42,CA00003,LOT23396,381,286,0.7507,5296388.24
217,42,PA00014,LOT96752,274,270,0.9854,3819733.2
218,42,MN00016,LOT64935,425,309,0.7271,12648374.25
219,43,PP00013,LOT89129,80,79,0.9875,3347478.06
220,43,MC00020,LOT49618,103,84,0.8155,2515527.84
221,43,MN00013,LOT89964,460,400,0.8696,8987992.0
222,43,PA00021,LOT70068,362,294,0.8122,5459976.9
223,43,PA00007,LOT22704,64,61,0.9531,2691171.16
224,43,PA00012,LOT73092,422,418,0.9905,3094081.98
225,43,AP00003,LOT52437,299,219,0.7324,4632491.67
226,43,AP00010,LOT22999,73,52,0.7123,1720872.4
227,44,MM00002,LOT70482,422,326,0.7725,5849000.72
228,44,AP00001,LOT10371,396,353,0.8914,2924276.71
229,44,AP00004,LOT24896,473,410,0.8668,20254733.9
230,44,MN00005,LOT92345,77,54,0.7013,2526346.8
231,44,PA00003,LOT54313,308,294,0.9545,12566056.86
232,44,PP00001,LOT43092,495,371,0.7495,14031245.97
233,44,MN00016,LOT64935,214,165,0.771,8008623.15
234,45,PP00008,LOT47056,279,202,0.724,5135718.7
235,45,PP00004,LOT39581,211,155,0.7346,3932549.95
236,45,MM00015,LOT39817,384,270,0.7031,5607505.8
237,46,MN00018,LOT57537,442,391,0.8846,9455768.05
238,46,PP00007,LOT63545,386,312,0.8083,7230316.08
239,46,TU00022,LOT14067,99,91,0.9192,1079770.51
240,46,MC00006,LOT11658,224,180,0.8036,5768892.0
241,46,CA00014,LOT21915,459,361,0.7865,9594394.47
242,46,SI00014,LOT46585,409,299,0.7311,13439147.02
243,46,TU00019,LOT16590,302,224,0.7417,8092212.8
244,46,MM00012,LOT63736,419,344,0.821,4630301.92
245,47,AP00008,LOT52219,262,187,0.7137,5989381.86
246,47,TU00021,LOT16826,394,345,0.8756,13398112.95
247,47,PA00006,LOT85525,280,234,0.8357,6991098.66
248,47,AP00018,LOT83526,308,228,0.7403,5800912.8
249,48,MM00017,LOT48452,360,347,0.9639,8918385.8
250,48,SI00001,LOT90173,246,203,0.8252,6260660.07
251,48,AP00012,LOT22463,404,375,0.9282,5402325.0
252,48,PA00011,LOT16630,225,223,0.9911,5171245.12
253,48,PA00005,LOT77391,118,87,0.7373,2655561.9
254,48,MC00012,LOT82848,433,369,0.8522,15612629.85
255,48,MN00015,LOT25220,330,316,0.9576,11338661.44
256,48,MM00022,LOT93746,333,296,0.8889,3209696.72
257,49,MM00007,LOT68529,230,199,0.8652,5881944.49
258,49,AP00002,LOT96646,391,356,0.9105,12117503.08
259,49,MN00010,LOT83048,480,412,0.8583,18126508.56
260,49,TU00017,LOT31632,266,250,0.9398,6653442.5
261,49,AP00006,LOT49535,62,50,0.8065,180009.0
262,49,PA00008,LOT98259,78,59,0.7564,2227785.13
263,49,AP00019,LOT45818,132,131,0.9924,4517683.03
264,50,PP00006,LOT44687,337,323,0.9585,12073165.06
265,50,PA00005,LOT77391,337,275,0.816,7159677.25
266,50,MN00004,LOT38705,457,429,0.9387,6475450.41
267,50,MN00019,LOT17936,390,278,0.7128,5475918.9
268,50,AP00014,LOT27054,263,259,0.9848,12643165.29
269,51,PP00004,LOT39581,436,382,0.8761,14204307.1
270,51,SI00014,LOT46585,150,139,0.9267,6706777.8
271,51,MN00009,LOT54396,200,166,0.83,8165408.86
272,51,AP00005,LOT69245,88,66,0.75,628053.36
273,51,AP00006,LOT49535,313,230,0.7348,687948.4
274,51,MN00012,LOT24201,192,166,0.8646,1223961.16
275,51,MC00007,LOT30052,349,332,0.9513,423834.52
276,52,MM00021,LOT98815,204,50,0.2451,1453058.5
277,52,CA00014,LOT21915,233,8,0.0343,285411.2
278,52,MN00007,LOT33021,319,35,0.1097,350335.65
279,52,MN00004,LOT38705,84,33,0.3929,290701.95
280,52,MN00016,LOT64935,328,88,0.2683,484469.04
281,53,SI00012,LOT71694,337,319,0.9466,15655094.07
282,53,AP00017,LOT82910,54,39,0.7222,700220.04
283,53,MN00005,LOT92345,173,168,0.9711,5219986.8
284,53,MM00004,LOT82255,368,284,0.7717,838933.16
285,53,PP00012,LOT75597,214,174,0.8131,6962456.88
286,54,PP00021,LOT36680,214,182,0.8505,8638153.16
287,54,PP00005,LOT50026,135,133,0.9852,5172717.13
288,54,PP00015,LOT71669,323,226,0.6997,951035.12
289,54,CA00012,LOT28726,393,349,0.888,3994507.42
290,54,TU00010,LOT93579,400,330,0.825,2010495.3
291,54,MN00013,LOT89964,325,308,0.9477,13568391.76
292,54,SI00006,LOT67912,429,400,0.9324,13072600.0
293,55,TU00019,LOT16590,86,75,0.8721,911598.0
294,55,CA00010,LOT14207,182,149,0.8187,3442668.84
295,55,PA00001,LOT79163,257,213,0.8288,389291.58
296,55,CA00019,LOT89818,394,289,0.7335,372535.45
297,55,CA00014,LOT21915,418,370,0.8852,14075565.9
298,55,SI00002,LOT27601,349,249,0.7135,10598513.19
299,55,SI00021,LOT65108,233,227,0.9742,1407545.28
300,55,MM00011,LOT23154,452,409,0.9049,12565187.57
301,56,CA00008,LOT89840,457,182,0.3982,5048771.0
302,56,PP00012,LOT75597,374,26,0.0695,888866.16
303,56,PA00019,LOT51467,457,198,0.4333,6484319.82
304,56,MM00005,LOT19150,55,15,0.2727,422976.3
305,56,SI00013,LOT39219,113,2,0.0177,58126.42
306,56,PA00013,LOT44760,251,67,0.2669,3175933.33
307,56,AP00016,LOT23579,206,21,0.1019,783931.89
308,56,MC00013,LOT82768,421,72,0.171,1527845.04
309,57,SI00021,LOT65108,485,448,0.9237,22182155.52
310,57,SI00006,LOT67912,331,277,0.8369,7737598.89
311,57,PA00008,LOT98259,198,178,0.899,2364496.82
312,57,SI00003,LOT89276,151,138,0.9139,3432381.54
313,57,MN00018,LOT57537,219,176,0.8037,5965252.48
314,57,MM00014,LOT92155,170,124,0.7294,3888177.48
315,57,CA00014,LOT21915,149,118,0.7919,2723634.7
316,58,MC00022,LOT11607,452,346,0.7655,12888842.54
317,58,PA00022,LOT19016,273,213,0.7802,3964954.53
318,58,CA00002,LOT30926,397,365,0.9194,16065989.65
319,58,TU00015,LOT61116,286,238,0.8322,9273332.04
320,58,SI00020,LOT50538,299,258,0.8629,2480086.92
321,59,MN00007,LOT33021,346,284,0.8208,8494945.52
322,59,CA00020,LOT10074,68,58,0.8529,1602540.0
323,59,AP00011,LOT66370,326,274,0.8405,10681796.84
324,59,CA00005,LOT48427,237,193,0.8143,8623324.92
325,59,PP00020,LOT77952,351,322,0.9174,4913385.12
326,59,MN00008,LOT75771,287,244,0.8502,1326664.6
327,59,CA00008,LOT89840,236,200,0.8475,6694250.0
328,59,MM00017,LOT48452,484,478,0.9876,23474967.18
329,60,MM00013,LOT62098,424,358,0.8443,6651990.84
330,60,MN00015,LOT25220,162,150,0.9259,1853362.5
331,60,PA00016,LOT79615,185,150,0.8108,464641.5
332,60,AP00013,LOT72163,155,132,0.8516,5251165.92
333,61,TU00017,LOT31632,346,94,0.2717,894752.16
334,61,PA00005,LOT77391,384,72,0.1875,2145330.72
335,61,AP00005,LOT69245,477,18,0.0377,239899.14
336,61,MM00002,LOT70482,164,42,0.2561,768264.0
337,61,MN00009,LOT54396,494,85,0.1721,3386418.7
338,61,TU00005,LOT74799,359,1,0.0028,44219.68
339,61,AP00014,LOT27054,275,22,0.08,105101.04
340,61,TU00002,LOT32241,379,53,0.1398,443174.34
341,62,AP00009,LOT52622,295,225,0.7627,2002740.75
342,62,PA00008,LOT98259,476,391,0.8214,5059481.35
343,62,PP00014,LOT86955,115,100,0.8696,889533.0
344,62,MN00019,LOT17936,372,317,0.8522,14153761.53
345,62,PP00013,LOT89129,125,89,0.712,1215270.08
346,63,AP00011,LOT66370,494,118,0.2389,1386361.94
347,63,MN00016,LOT64935,260,78,0.3,3115022.82
348,63,TU00007,LOT83060,470,180,0.383,5676728.4
349,63,CA00022,LOT19071,311,41,0.1318,1495891.15
350,63,SI00012,LOT71694,225,103,0.4578,3113703.39
351,63,PP00005,LOT50026,85,9,0.1059,178988.67
352,63,MN00002,LOT12875,105,0,0.0,0.0
353,63,PP00011,LOT47828,308,105,0.3409,4357416.0
354,64,PP00014,LOT86955,358,308,0.8603,326113.48
355,64,MN00015,LOT25220,446,402,0.9013,8901622.68
356,64,PA00012,LOT73092,265,214,0.8075,669494.72
357,65,AP00014,LOT27054,180,151,0.8389,1871362.63
358,65,AP00019,LOT45818,489,354,0.7239,10731980.82
359,65,AP00003,LOT52437,328,269,0.8201,2760486.07
360,65,MM00016,LOT68153,413,381,0.9225,513812.79
361,65,PA00004,LOT92719,317,233,0.735,315134.83
362,65,MC00021,LOT82529,385,293,0.761,11840150.51
363,65,PA00013,LOT44760,259,209,0.8069,1794087.35
364,66,TU00005,LOT74799,451,391,0.867,3815088.66
365,66,MN00021,LOT41925,336,291,0.8661,3909614.1
366,66,MC00014,LOT22196,207,180,0.8696,7008395.4
367,66,AP00018,LOT83526,253,232,0.917,9951628.4
368,66,SI00009,LOT56357,387,284,0.7339,3481496.36
369,66,MC00018,LOT35105,450,409,0.9089,3651535.64
370,66,MM00010,LOT96991,159,135,0.8491,5334927.3
371,67,CA00002,LOT30926,184,141,0.7663,693994.95
372,67,PA00002,LOT62296,69,63,0.913,2936024.28
373,67,PA00016,LOT79615,255,225,0.8824,5969085.75
374,67,PP00011,LOT47828,414,409,0.9879,1560617.21
375,67,MM00022,LOT93746,446,421,0.9439,13629567.67
376,67,PP00002,LOT92502,274,192,0.7007,8194139.52
377,67,PA00001,LOT79163,461,394,0.8547,4153776.52
378,67,CA00017,LOT94012,451,396,0.878,10404848.52
379,68,CA00001,LOT36062,257,225,0.8755,5933112.75
380,68,PA00019,LOT51467,427,389,0.911,17909439.41
381,68,PA00001,LOT79163,331,259,0.7825,10789546.32
382,68,TU00005,LOT74799,348,279,0.8017,13448106.9
383,68,MC00015,LOT58368,191,146,0.7644,7035710.8
384,68,MC00003,LOT85470,282,276,0.9787,8051038.68
385,68,MN00018,LOT57537,183,137,0.7486,3535376.79
386,68,MC00014,LOT22196,336,242,0.7202,3731238.28
387,69,MM00013,LOT62098,447,374,0.8367,8817162.2
388,69,PP00014,LOT86955,350,335,0.9571,8246540.9
389,69,AP00022,LOT52517,182,131,0.7198,4198475.33
390,69,SI00019,LOT91678,162,146,0.9012,1790920.68
391,69,AP00018,LOT83526,211,173,0.8199,3166197.56
392,69,TU00021,LOT16826,324,227,0.7006,9483306.36
393,70,TU00015,LOT61116,432,390,0.9028,17778715.5
394,70,MC00003,LOT85470,305,280,0.918,3502298.8
395,70,SI00012,LOT71694,173,166,0.9595,1847936.9
396,70,MM00015,LOT39817,153,145,0.9477,6087158.0
397,70,TU00003,LOT40784,232,173,0.7457,1077405.94
398,70,SI00003,LOT89276,90,81,0.9,2714130.18
399,71,MN00005,LOT92345,301,227,0.7542,8727888.95
400,71,TU00015,LOT61116,311,243,0.7814,2887459.65
401,71,PP00017,LOT53228,345,254,0.7362,6797304.16
402,71,MM00016,LOT68153,266,224,0.8421,6159469.12
403,71,TU00005,LOT74799,307,246,0.8013,10617264.06
404,72,CA00003,LOT23396,235,207,0.8809,2841145.38
405,72,CA00004,LOT15695,330,257,0.7788,3649657.0
406,72,MN00019,LOT17936,363,291,0.8017,2913425.07
407,72,SI00010,LOT33206,267,203,0.7603,7172988.76
408,72,MC00010,LOT97580,240,194,0.8083,4002033.76
409,72,MM00017,LOT48452,280,211,0.7536,1566848.02
410,72,PA00004,LOT92719,344,311,0.9041,12718450.74
411,72,TU00018,LOT83975,419,327,0.7804,4105305.15
412,73,SI00002,LOT27601,118,117,0.9915,4986552.87
413,73,MC00020,LOT49618,314,270,0.8599,4447072.8
414,73,PP00018,LOT14809,299,236,0.7893,6736568.08
415,74,PP00012,LOT75597,221,171,0.7738,3190008.42
416,74,MN00008,LOT75771,335,328,0.9791,4469993.84
417,74,PA00003,LOT54313,60,49,0.8167,891968.07
418,74,PP00006,LOT44687,397,392,0.9874,4213588.4
419,74,AP00015,LOT56346,344,307,0.8924,8406725.29
420,75,MC00010,LOT97580,287,255,0.8885,2064880.35
421,75,MN00004,LOT38705,135,120,0.8889,5579972.4
422,75,TU00008,LOT83259,265,235,0.8868,6817406.4
423,76,TU00016,LOT73993,359,320,0.8914,4573171.2
424,76,MN00014,LOT95097,277,258,0.9314,12125927.76
425,76,TU00009,LOT81810,432,378,0.875,18261474.84
426,76,AP00006,LOT49535,261,195,0.7471,8356994.1
427,76,TU00003,LOT40784,114,104,0.9123,3477666.4
428,77,PA00005,LOT77391,63,58,0.9206,1547159.28
429,77,PA00003,LOT54313,92,67,0.7283,2096229.67
430,77,CA00017,LOT94012,93,83,0.8925,3684211.47
431,77,PP00012,LOT75597,208,159,0.7644,5905589.13
432,77,MM00009,LOT15720,276,245,0.8877,1820982.1
433,77,CA00014,LOT21915,479,359,0.7495,977409.81
434,78,TU00004,LOT72277,352,105,0.2983,3351739.65
435,78,MM00009,LOT15720,375,164,0.4373,3659477.96
436,78,PP00004,LOT39581,377,120,0.3183,1940809.2
437,78,PA00013,LOT44760,227,54,0.2379,654981.66
438,78,AP00003,LOT52437,95,20,0.2105,378467.6
439,78,MM00007,LOT68529,183,14,0.0765,21241.36
440,78,SI00002,LOT27601,317,129,0.4069,5488870.02
441,79,CA00003,LOT23396,168,157,0.9345,4374396.8
442,79,AP00021,LOT79531,146,120,0.8219,3416059.2
443,79,PP00001,LOT43092,252,195,0.7738,7026232.2
444,79,TU00009,LOT81810,380,310,0.8158,6057257.4
445,79,MM00021,LOT98815,184,133,0.7228,4208230.39
446,80,AP00015,LOT56346,198,145,0.7323,3380212.45
447,80,MM00005,LOT19150,281,219,0.7794,6901771.86
448,80,TU00003,LOT40784,146,116,0.7945,980817.12
449,80,MC00018,LOT35105,323,228,0.7059,11090900.4
450,80,SI00005,LOT15778,194,151,0.7784,5442734.6
451,80,CA00018,LOT75612,422,296,0.7014,1604216.4
452,80,SI00003,LOT89276,57,48,0.8421,852179.04
453,80,PA00013,LOT44760,209,195,0.933,4957171.05
454,81,CA00015,LOT88172,328,275,0.8384,2864790.5
455,81,TU00003,LOT40784,480,372,0.775,7327391.88
456,81,MC00013,LOT82768,56,41,0.7321,1584204.74
457,81,CA00019,LOT89818,177,144,0.8136,7023404.16
458,82,AP00022,LOT52517,209,97,0.4641,850880.12
459,82,PA00003,LOT54313,422,8,0.019,375469.04
460,82,MM00002,LOT70482,316,19,0.0601,467024.75
461,82,MN00017,LOT46666,202,20,0.099,889769.2
462,82,SI00010,LOT33206,492,164,0.3333,7985230.52
463,82,PP00012,LOT75597,170,53,0.3118,895761.48
464,82,MC00012,LOT82848,135,53,0.3926,1571457.95
465,82,MN00021,LOT41925,252,99,0.3929,142318.44
466,83,SI00020,LOT50538,96,86,0.8958,1512110.48
467,83,PA00019,LOT51467,438,388,0.8858,1524444.24
