id_commande,code_client,date_commande,mois,annee,type_commande,statut,date_approbation,date_livraison_prevue,date_livraison_effective
28,C0028,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-13,2023-01-16
29,C0029,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-13,2023-01-17
30,C0030,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-11,2023-01-11
31,C0031,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-12,2023-01-12
32,C0032,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-16,2023-01-19
33,C0033,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-15,2023-01-15
34,C0034,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-14,2023-01-16
35,C0035,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-15,2023-01-18
36,C0036,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-09,2023-01-14
37,C0037,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-12,2023-01-15
38,C0038,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-16,2023-01-16
39,C0039,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-11,2023-01-12
40,C0040,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-08,2023-01-07
41,C0041,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-13,2023-01-16
42,C0042,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-12,2023-01-11
43,C0043,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-15,2023-01-19
44,C0044,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-15,2023-01-18
45,C0045,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-17,2023-01-18
46,C0046,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-12,2023-01-13
47,C0047,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-14,2023-01-19
48,C0048,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-18,2023-01-18
49,C0049,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-12,2023-01-12
50,C0050,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-13,2023-01-11
51,C0051,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-12,2023-01-13
52,C0052,2023-01-04,1,2023,normale,approuvee,2023-01-05,2023-01-10,
53,C0053,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-15,2023-01-18
54,C0054,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-10,2023-01-13
55,C0055,2023-01-04,1,2023,urgente,livree,2023-01-06,2023-01-09,2023-01-14
56,C0056,2023-01-04,1,2023,normale,approuvee,2023-01-08,2023-01-17,
57,C0057,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-11,2023-01-12
58,C0058,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-14,2023-01-17
59,C0059,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-12,2023-01-14
60,C0060,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-16,2023-01-16
61,C0061,2023-01-04,1,2023,normale,approuvee,2023-01-05,2023-01-08,
62,C0062,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-11,2023-01-15
63,C0063,2023-01-04,1,2023,normale,approuvee,2023-01-09,2023-01-12,
64,C0064,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-12,2023-01-11
65,C0065,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-17,2023-01-20
66,C0066,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-18,2023-01-21
67,C0067,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-10,2023-01-14
68,C0068,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-13,2023-01-14
69,C0069,2023-01-04,1,2023,urgente,livree,2023-01-07,2023-01-14,2023-01-19
70,C0070,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-11,2023-01-11
71,C0071,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-12,2023-01-17
72,C0072,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-15,2023-01-18
73,C0073,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-11,2023-01-16
74,C0074,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-09,2023-01-10
75,C0075,2023-01-04,1,2023,urgente,livree,2023-01-07,2023-01-17,2023-01-22
76,C0076,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-14,2023-01-15
77,C0077,2023-01-04,1,2023,urgente,livree,2023-01-05,2023-01-11,2023-01-11
78,C0078,2023-01-04,1,2023,normale,approuvee,2023-01-08,2023-01-18,
79,C0079,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-15,2023-01-20
80,C0080,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-16,2023-01-18
81,C0081,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-13,2023-01-12
82,C0082,2023-01-04,1,2023,normale,approuvee,2023-01-06,2023-01-16,
83,C0083,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-13,2023-01-16
84,C0084,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-15,2023-01-20
85,C0085,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-17,2023-01-18
86,C0086,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-14,2023-01-19
87,C0087,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-13,2023-01-12
88,C0088,2023-01-04,1,2023,urgente,livree,2023-01-08,2023-01-17,2023-01-20
89,C0089,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-14,2023-01-13
90,C0090,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-17,2023-01-17
91,C0091,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-10,2023-01-13
92,C0092,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-17,2023-01-18
93,C0093,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-10,2023-01-09
94,C0094,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-09,2023-01-13
95,C0095,2023-01-04,1,2023,urgente,approuvee,2023-01-07,2023-01-10,
96,C0096,2023-01-04,1,2023,urgente,approuvee,2023-01-08,2023-01-13,
97,C0097,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-13,2023-01-18
98,C0098,2023-01-04,1,2023,normale,approuvee,2023-01-09,2023-01-12,
99,C0099,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-14,2023-01-18
100,C0100,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-18,2023-01-16
101,C0101,2023-01-04,1,2023,urgente,livree,2023-01-07,2023-01-10,2023-01-15
102,C0102,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-16,2023-01-19
103,C0103,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-09,2023-01-11
104,C0104,2023-01-04,1,2023,urgente,livree,2023-01-09,2023-01-16,2023-01-20
105,C0105,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-13,2023-01-15
106,C0106,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-17,2023-01-22
107,C0107,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-10,2023-01-11
108,C0108,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-11,2023-01-10
109,C0109,2023-01-04,1,2023,urgente,livree,2023-01-09,2023-01-13,2023-01-16
110,C0110,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-12,2023-01-14
111,C0111,2023-01-04,1,2023,urgente,livree,2023-01-08,2023-01-13,2023-01-12
112,C0112,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-13,2023-01-12
113,C0113,2023-01-04,1,2023,normale,approuvee,2023-01-09,2023-01-19,
114,C0114,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-11,2023-01-10
115,C0115,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-16,2023-01-15
116,C0116,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-16,2023-01-16
117,C0117,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-19,2023-01-23
118,C0118,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-16,2023-01-21
119,C0119,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-14,2023-01-12
120,C0120,2023-01-04,1,2023,urgente,livree,2023-01-05,2023-01-10,2023-01-10
121,C0121,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-18,2023-01-16
122,C0122,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-12,2023-01-15
123,C0123,2023-01-04,1,2023,urgente,livree,2023-01-06,2023-01-13,2023-01-15
124,C0124,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-10,2023-01-14
125,C0125,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-16,2023-01-14
126,C0126,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-09,2023-01-13
127,C0127,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-19,2023-01-19
128,C0128,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-16,2023-01-15
129,C0129,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-13,2023-01-14
130,C0130,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-09,2023-01-12
131,C0131,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-12,2023-01-11
132,C0132,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-14,2023-01-14
133,C0133,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-13,2023-01-15
134,C0134,2023-01-04,1,2023,urgente,livree,2023-01-09,2023-01-12,2023-01-16
135,C0135,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-17,2023-01-15
136,C0136,2023-01-04,1,2023,normale,approuvee,2023-01-06,2023-01-10,
137,C0137,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-13,2023-01-12
138,C0138,2023-01-04,1,2023,urgente,livree,2023-01-08,2023-01-18,2023-01-16
139,C0139,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-14,2023-01-12
140,C0140,2023-01-04,1,2023,urgente,livree,2023-01-08,2023-01-15,2023-01-18
141,C0141,2023-01-04,1,2023,urgente,approuvee,2023-01-06,2023-01-09,
142,C0142,2023-01-04,1,2023,urgente,livree,2023-01-05,2023-01-09,2023-01-14
143,C0143,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-13,2023-01-13
144,C0144,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-17,2023-01-15
145,C0145,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-12,2023-01-15
146,C0146,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-10,2023-01-10
147,C0147,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-14,2023-01-19
148,C0148,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-11,2023-01-11
149,C0149,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-13,2023-01-16
150,C0150,2023-01-04,1,2023,urgente,livree,2023-01-09,2023-01-14,2023-01-19
151,C0151,2023-01-04,1,2023,urgente,livree,2023-01-08,2023-01-16,2023-01-16
152,C0152,2023-01-04,1,2023,urgente,approuvee,2023-01-05,2023-01-13,
153,C0153,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-18,2023-01-20
154,C0154,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-09,2023-01-14
155,C0155,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-17,2023-01-17
156,C0156,2023-01-04,1,2023,urgente,livree,2023-01-05,2023-01-08,2023-01-08
157,C0157,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-10,2023-01-15
158,C0158,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-18,2023-01-19
159,C0159,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-19,2023-01-20
160,C0160,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-17,2023-01-22
161,C0161,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-12,2023-01-11
162,C0162,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-13,2023-01-17
163,C0163,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-16,2023-01-20
164,C0164,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-12,2023-01-11
165,C0165,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-15,2023-01-14
166,C0166,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-12,2023-01-15
167,C0167,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-10,2023-01-13
168,C0168,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-14,2023-01-15
169,C0169,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-15,2023-01-14
170,C0170,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-18,2023-01-20
171,C0171,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-16,2023-01-19
172,C0172,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-10,2023-01-09
173,C0173,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-14,2023-01-17
174,C0174,2023-01-04,1,2023,urgente,livree,2023-01-08,2023-01-15,2023-01-15
175,C0175,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-14,2023-01-13
176,C0176,2023-01-04,1,2023,normale,approuvee,2023-01-09,2023-01-13,
177,C0177,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-11,2023-01-09
178,C0178,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-15,2023-01-15
179,C0179,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-15,2023-01-19
180,C0180,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-10,2023-01-10
181,C0181,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-17,2023-01-16
182,C0182,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-13,2023-01-17
183,C0183,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-12,2023-01-11
184,C0184,2023-01-04,1,2023,urgente,livree,2023-01-08,2023-01-12,2023-01-11
185,C0185,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-12,2023-01-15
186,C0186,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-09,2023-01-11
187,C0187,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-13,2023-01-17
188,C0188,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-12,2023-01-15
189,C0189,2023-01-04,1,2023,urgente,livree,2023-01-08,2023-01-12,2023-01-15
190,C0190,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-10,2023-01-09
191,C0191,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-19,2023-01-22
192,C0192,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-12,2023-01-11
193,C0193,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-15,2023-01-14
194,C0194,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-12,2023-01-16
195,C0195,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-12,2023-01-10
196,C0196,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-14,2023-01-14
197,C0197,2023-01-04,1,2023,normale,approuvee,2023-01-06,2023-01-13,
198,C0198,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-15,2023-01-17
199,C0199,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-17,2023-01-21
200,C0200,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-16,2023-01-19
201,C0201,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-14,2023-01-13
202,C0202,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-10,2023-01-11
203,C0203,2023-01-04,1,2023,normale,approuvee,2023-01-06,2023-01-12,
204,C0204,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-10,2023-01-15
205,C0205,2023-01-04,1,2023,urgente,livree,2023-01-07,2023-01-16,2023-01-15
206,C0206,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-12,2023-01-15
207,C0207,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-15,2023-01-17
208,C0208,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-17,2023-01-19
209,C0209,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-17,2023-01-18
210,C0210,2023-01-04,1,2023,urgente,livree,2023-01-05,2023-01-09,2023-01-09
211,C0211,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-16,2023-01-17
212,C0212,2023-01-04,1,2023,urgente,livree,2023-01-07,2023-01-14,2023-01-13
213,C0213,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-11,2023-01-14
214,C0214,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-13,2023-01-13
215,C0215,2023-01-04,1,2023,normale,approuvee,2023-01-08,2023-01-14,
216,C0216,2023-01-04,1,2023,normale,approuvee,2023-01-07,2023-01-16,
217,C0217,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-13,2023-01-11
218,C0218,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-13,2023-01-18
219,C0219,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-15,2023-01-16
220,C0220,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-16,2023-01-20
221,C0221,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-15,2023-01-20
222,C0222,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-15,2023-01-20
223,C0223,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-13,2023-01-14
224,C0224,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-13,2023-01-17
225,C0225,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-11,2023-01-16
226,C0226,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-12,2023-01-12
227,C0227,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-14,2023-01-19
228,C0228,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-09,2023-01-07
229,C0229,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-12,2023-01-17
230,C0230,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-09,2023-01-08
231,C0231,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-18,2023-01-20
232,C0232,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-12,2023-01-14
233,C0233,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-17,2023-01-22
234,C0234,2023-01-04,1,2023,urgente,livree,2023-01-05,2023-01-12,2023-01-13
235,C0235,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-18,2023-01-17
236,C0236,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-13,2023-01-15
237,C0237,2023-01-04,1,2023,normale,approuvee,2023-01-09,2023-01-17,
238,C0238,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-15,2023-01-18
239,C0239,2023-01-04,1,2023,urgente,livree,2023-01-08,2023-01-14,2023-01-19
240,C0240,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-18,2023-01-21
241,C0241,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-13,2023-01-12
242,C0242,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-10,2023-01-09
243,C0243,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-17,2023-01-19
244,C0244,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-10,2023-01-11
245,C0245,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-13,2023-01-13
246,C0246,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-15,2023-01-15
247,C0247,2023-01-04,1,2023,urgente,livree,2023-01-05,2023-01-09,2023-01-09
248,C0248,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-15,2023-01-13
249,C0249,2023-01-04,1,2023,normale,approuvee,2023-01-05,2023-01-14,
250,C0250,2023-01-04,1,2023,urgente,livree,2023-01-07,2023-01-12,2023-01-15
251,C0251,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-14,2023-01-15
252,C0252,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-15,2023-01-13
253,C0253,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-10,2023-01-11
254,C0254,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-13,2023-01-12
255,C0255,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-12,2023-01-16
256,C0256,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-11,2023-01-12
257,C0257,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-12,2023-01-15
258,C0258,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-08,2023-01-08
259,C0259,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-17,2023-01-19
260,C0260,2023-01-04,1,2023,urgente,livree,2023-01-08,2023-01-18,2023-01-17
261,C0261,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-14,2023-01-15
262,C0262,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-15,2023-01-14
263,C0263,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-13,2023-01-18
264,C0264,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-14,2023-01-13
265,C0265,2023-01-04,1,2023,normale,approuvee,2023-01-06,2023-01-12,
266,C0266,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-13,2023-01-15
267,C0267,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-12,2023-01-17
268,C0268,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-14,2023-01-17
269,C0269,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-18,2023-01-23
270,C0270,2023-01-04,1,2023,urgente,livree,2023-01-07,2023-01-12,2023-01-13
271,C0271,2023-01-04,1,2023,urgente,livree,2023-01-07,2023-01-15,2023-01-15
272,C0272,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-14,2023-01-14
273,C0273,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-11,2023-01-13
274,C0274,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-16,2023-01-17
275,C0275,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-13,2023-01-16
276,C0276,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-12,2023-01-17
277,C0277,2023-01-04,1,2023,urgente,livree,2023-01-05,2023-01-13,2023-01-17
278,C0278,2023-01-04,1,2023,urgente,livree,2023-01-08,2023-01-14,2023-01-15
279,C0279,2023-01-04,1,2023,urgente,livree,2023-01-08,2023-01-13,2023-01-12
280,C0280,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-12,2023-01-13
281,C0281,2023-01-04,1,2023,normale,approuvee,2023-01-06,2023-01-12,
282,C0282,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-14,2023-01-16
283,C0283,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-15,2023-01-14
284,C0284,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-13,2023-01-14
285,C0285,2023-01-04,1,2023,normale,approuvee,2023-01-05,2023-01-09,
286,C0286,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-14,2023-01-15
287,C0287,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-11,2023-01-09
288,C0288,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-14,2023-01-14
289,C0289,2023-01-04,1,2023,normale,approuvee,2023-01-07,2023-01-12,
290,C0290,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-12,2023-01-11
291,C0291,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-13,2023-01-13
292,C0292,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-14,2023-01-13
293,C0293,2023-01-04,1,2023,normale,approuvee,2023-01-06,2023-01-13,
294,C0294,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-17,2023-01-18
295,C0295,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-16,2023-01-17
296,C0296,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-08,2023-01-13
297,C0297,2023-01-04,1,2023,normale,approuvee,2023-01-08,2023-01-12,
298,C0298,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-08,2023-01-10
299,C0299,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-18,2023-01-17
300,C0300,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-17,2023-01-19
301,C0301,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-16,2023-01-17
302,C0302,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-11,2023-01-10
303,C0303,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-14,2023-01-16
304,C0304,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-12,2023-01-13
305,C0305,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-14,2023-01-14
306,C0306,2023-01-04,1,2023,normale,approuvee,2023-01-07,2023-01-15,
307,C0307,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-11,2023-01-13
308,C0308,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-14,2023-01-13
309,C0309,2023-01-04,1,2023,normale,approuvee,2023-01-08,2023-01-13,
310,C0310,2023-01-04,1,2023,normale,livree,2023-01-09,2023-01-16,2023-01-14
